Data,Hora,Prefixo,Empresa,Área,Linha,Local,Perda,Latitude,Longitude,Notes,,,,,,,,,,,,,,,
5/20/14,20h56,61.798,Cidade Dutra,1,Cidade Dutra,"Av. Dona Belmira Marin, 2.578 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
5/20/14,20h57,61.461,Cidade Dutra,6,637G/10,"Av. Dona Belmira Marin, 1.450 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
5/20/14,20h58,61.854,Cidade Dutra,6,6913/10,"Av. Dona Belmira Marin, 1.450 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
5/21/14,20h59,64.277,VIP/Transportes,6,509J/10,"Rua Maria Clotilde Martins Rocha, 4.005",Perda Parcial,,,,,,,,,,,,,,,,,,
5/21/14,20h60,61.071,Cidade Dutra,6,6960/10,"Av. Dona Belmira Marin, 1.540 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
5/29/14,20h61,72.891,Campo Belo,7,6048/10,"Av. Tomás Campanella, 12 - Capão Redondo",Perda Parcial,,,,,,,,,,,,,,,,,,
6/15/14,20h64,33.283,VIP/Transportes,3,2363/10,"Pça. Félix, 138 - Jd. Danfer",Perda Total,,,,,,,,,,,,,,,,,,
6/29/14,20h65,63.584,Mobibrasil,6,577T/10,"Av. Cupecê, 5168 - Cidade Ademar",Perda Total,,,,,,,,,,,,,,,,,,
6/29/14,20h66,63.628,Mobibrasil,6,546L/10,"Av. Yervant Kissajikian, 3092 - Cidade Ademar",Perda Parcial,,,,,,,,,,,,,,,,,,
7/8/14,20h67,51.66,Via Sul,5,314J/10,"Av. Primavera de caiena, 750 - Sapopemba",Perda Total,,,,,,,,,,,,,,,,,,
7/8/14,20h68,62.083,Tupi,6,576J/10,"Av. Yervant Kissajikian, 3.097 - Cidade Ademar",Perda Parcial,,,,,,,,,,,,,,,,,,
7/8/14,19h40,31.852,Vip/Trasportes,3,307C/10,"Rua tibúrcio de Souza, 1.772 - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
7/12/14,20h70,63.588,Mobibrasil,6,6000/10,"Estrada do Alvarenga, 678 - Pedreira",Perda Parcial,,,,,,,,,,,,,,,,,,
7/14/14,20h71,31.466,VIP/Transportes,3,1178/31,"Rua Dr. Assis Ribeiro, 10.500 - Ermelino Matarazzo",Perda Parcial,,,,,,,,,,,,,,,,,,
8/5/14,20h72,44.476,Express,4,407W/10,"Av. doz nacionalistas, 1.500 - Sapopemba",Perda Parcial,,,,,,,,,,,,,,,,,,
8/20/14,20h73,52.243,Via Sul,5,4709/10,"Av. Pe. Arlindo Vieira, 2.593 - Pq. Bristol",Perda Parcial,,,,,,,,,,,,,,,,,,
9/7/14,20h74,11.047,Santa Brígida,1,9012/10,"Rua Nicia Coutinho Patricio, 100 - Brasilândia",Perda Total,,,,,,,,,,,,,,,,,,
9/16/14,20h75,11.805,Santa Brígida,1,8622/10,"Pça. Ramos de Azevedo, sn° - República",Perda Parcial,,,,,,,,,,,,,,,,,,
